"Club","Points","GF","GA","GD","Group","Europa","n_teams","Rank","Elo","Tilt","Pass"
"Jedinstvo Ub",36,25,39,-14,"SRB",1,16,11,1021.19543457,1.26916029402776,1
"Nis",36,30,49,-19,"SRB",1,16,12,1094.78491211,1.34381519947962,1
"Krusevac",33,26,42,-16,"SRB",1,16,13,1095.61401367,1.38430125641456,1
"Cukaricki",31,38,53,-15,"SRB",1,16,14,1185.57104492,1.36443739889162,1
"Mladost Lucani",30,27,45,-18,"SRB",1,16,15,1135.52954102,1.2181172049212,1
"Tekstilac Odzaci",20,22,54,-32,"SRB",1,16,16,1044.80822754,1.34290236647519,1
"Ruzomberok",43,44,23,21,"REST",1,12,1,1369.51293945,1.23100329818108,0
"FK Sarajevo",36,30,20,10,"REST",1,12,2,1240.11474609,1.22483856156397,0
"Borac Banja Luka",35,31,27,4,"REST",1,12,3,1255.45935059,1.26143161316239,0
"St Patricks",34,28,26,2,"REST",1,12,4,1264.93566895,1.35944343356582,0
"Zalgiris Vilnius",31,26,27,-1,"REST",1,12,5,1206.70324707,1.27377576013482,0
"Ordabasy",30,32,27,5,"REST",1,12,6,1203.40258789,1.30929911048415,0
"Trnava",30,27,23,4,"REST",1,12,7,1375.41516113,1.3597854297146,0
"Pyunik",29,23,28,-5,"REST",1,12,8,1293.49389648,1.23344608226405,0
"FK Astana",25,32,33,-1,"REST",1,12,9,1354.60595703,1.49656182475775,0
"Kuopio",25,25,27,-2,"REST",1,12,10,1277.19067383,1.29737135349652,0
"Ararat",22,25,36,-11,"REST",1,12,11,1229.59350586,1.26467333348703,0
"Ilves Tampere",17,22,48,-26,"REST",1,12,12,1208.48547363,1.36061818858657,0
"Celje",36,39,17,22,"SVN",1,10,1,1379.47290039,1.3360193173832,1
"Bravo",35,32,22,10,"SVN",1,10,2,1264.70251465,1.33303037104625,1
"Koper",33,33,16,17,"SVN",1,10,3,1335.64245605,1.17159230763512,1
"Maribor",31,33,18,15,"SVN",1,10,4,1380.29211426,1.30836589219391,1
"Olimpija Ljubljana",30,29,25,4,"SVN",1,10,5,1426.41101074,1.27595696988584,1
"Nafta",24,31,28,3,"SVN",1,10,6,1122.66589355,1.31229826875849,1
"Radomlje",20,19,36,-17,"SVN",1,10,7,1164.2845459,1.32858178564332,1
"Domzale",16,23,45,-22,"SVN",1,10,8,1162.32849121,1.36371315937607,1
"Mura",15,17,27,-10,"SVN",1,10,9,1169.0324707,1.25598673153547,1
"Primorje",14,20,42,-22,"SVN",1,10,10,1190.31591797,1.30090176804794,1
"M Tel Aviv",60,58,15,43,"ISR",1,14,1,1552.51538086,1.36212222408553,0
"Beer-Sheva",48,47,22,25,"ISR",1,14,2,1514.36657715,1.29176164199675,0
"Hapoel Jerusalem",43,34,29,5,"ISR",1,14,3,1328.39428711,1.33645748589317,0
"Kiryat Shmona",42,37,31,6,"ISR",1,14,4,1196.04394531,1.26035636873566,0
"Beitar",42,35,34,1,"ISR",1,14,5,1339.39416504,1.39005785952982,0
"Ashdod",36,28,37,-9,"ISR",1,14,6,1282.84484863,1.28312301266713,0
"Hapoel Haifa",34,34,37,-3,"ISR",1,14,7,1364.0723877,1.28690453502659,0
"Bnei Sakhinin",32,29,42,-13,"ISR",1,14,8,1269.97265625,1.31070564410062,0
"Netanya",31,37,33,4,"ISR",1,14,9,1311.05419922,1.34508094013505,0
"M Petach Tikva",31,28,39,-11,"ISR",1,14,10,1220.94750977,1.30027212454617,0
"Maccabi Haifa",29,34,34,0,"ISR",1,14,11,1451.36315918,1.35620156283559,0
"Maccabi Bnei Raina",28,22,35,-13,"ISR",1,14,12,1239.88305664,1.28685330212952,0
"Ironi Tiberias",21,31,44,-13,"ISR",1,14,13,1224.82067871,1.36587842040992,0
"Hapoel Eran Hadera",21,26,48,-22,"ISR",1,14,14,1190.2331543,1.42202608424506,0
"Shakhtar",61,61,31,30,"UKR",0,17,1,1531.97888184,1.24679242182886,0
"Dynamo Kyiv",60,56,26,30,"UKR",0,17,2,1507.01538086,1.32828119149684,0
"Zorya",56,51,38,13,"UKR",0,17,3,1292.85839844,1.25576168221914,0
"Metalist 1925",55,55,47,8,"UKR",0,17,4,1239.8572998,1.2429796558073,0
"Olexandriya",52,48,33,15,"UKR",0,17,5,1381.87268066,1.30964250838345,0
"Polissya Zhytomyr",51,41,36,5,"UKR",0,17,6,1320.07263184,1.30338129021009,0
"Kryvbas",50,43,37,6,"UKR",0,17,7,1311.26586914,1.25995045963949,0
"Obolon Kyiv",44,37,43,-6,"UKR",0,17,8,1222.96166992,1.17263042403388,0
"Kolos",43,54,39,15,"UKR",0,17,9,1279.32971191,1.32726027652892,0
"Karpaty",43,34,38,-4,"UKR",0,17,10,1259.42590332,1.26020511285795,0
"Veres",41,40,49,-9,"UKR",0,17,11,1218.13342285,1.3266251969373,0
"Inhulets",36,31,43,-12,"UKR",0,17,12,1159.96582031,1.32301021266796,0
"Rukh Lviv",36,30,56,-26,"UKR",0,17,13,1288.19287109,1.31899807028526,0
"Livyi Bereh",35,36,44,-8,"UKR",0,17,14,1161.27331543,1.34402449630935,0
"LNZ",33,31,42,-11,"UKR",0,17,15,1222.95471191,1.33686189289087,0
"Vorskla",33,32,52,-20,"UKR",0,17,16,1209.55578613,1.27125932139206,0
"Chernomorets",28,42,68,-26,"UKR",0,17,17,1168.51318359,1.32800406542216,0
"Paris SG",69,75,29,46,"FRA",2,18,1,1974.93762207,1.33540589583702,3
"Marseille",67,57,34,23,"FRA",2,18,2,1756.52758789,1.28028318358868,3
"Lyon",63,68,44,24,"FRA",2,18,3,1744.62866211,1.30902710727926,3
"Lille",62,67,42,25,"FRA",2,18,4,1782.04833984,1.31189103966096,3
"Reims",58,55,46,9,"FRA",2,18,5,1589.82861328,1.2860966641732,3
"Le Havre",52,39,40,-1,"FRA",2,18,6,1553.54150391,1.32352902774056,3
"Lens",50,43,39,4,"FRA",2,18,7,1693.22021484,1.26205091187325,3
"Monaco",49,58,50,8,"FRA",2,18,8,1762.12561035,1.30781308036622,3
"Angers",46,42,43,-1,"FRA",2,18,9,1538.24450684,1.34212089416743,3
"Nantes",44,46,50,-4,"FRA",2,18,10,1586.95227051,1.2742222836281,3
"Saint-Etienne",43,36,64,-28,"FRA",2,18,11,1532.84277344,1.34936872991203,3
"Nice",42,44,46,-2,"FRA",2,18,12,1720.62438965,1.26016352002357,3
"Rennes",41,39,47,-8,"FRA",2,18,13,1663.48510742,1.37738014602722,3
"Toulouse",41,37,50,-13,"FRA",2,18,14,1653.90771484,1.26972627710005,3
"Auxerre",39,37,46,-9,"FRA",2,18,15,1629.10119629,1.33167024809726,3
"Strasbourg",36,40,52,-12,"FRA",2,18,16,1707.00744629,1.29778777857941,3
"Brest",33,41,63,-22,"FRA",2,18,17,1679.1048584,1.34712032198119,3
"Montpellier",24,30,69,-39,"FRA",2,18,18,1490.47045898,1.29612744747894,3
"PSV",70,99,43,56,"NED",1,18,1,1797.03527832,1.94117647058824,2
"Feyenoord",70,91,43,48,"NED",1,18,2,1738.36352539,1.73529411764706,2
"Alkmaar",67,66,29,37,"NED",1,18,3,1626.27563477,1.60294117647059,2
"Ajax",62,76,50,26,"NED",1,18,4,1663.94873047,1.98529411764706,2
"Utrecht",58,59,53,6,"NED",1,18,5,1584.75134277,1.41176470588235,2
"Almere",54,53,77,-24,"NED",1,18,6,1349.17346191,1.35294117647059,2
"Sparta Rotterdam",53,41,43,-2,"NED",1,18,7,1493.50878906,1.45588235294118,2
"Twente",51,50,54,-4,"NED",1,18,8,1576.95092773,1.54411764705882,2
"Heerenveen",50,58,49,9,"NED",1,18,9,1445.41308594,1.80882352941176,2
"Nijmegen",46,57,49,8,"NED",1,18,10,1505.06628418,1.75,2
"Waalwijk",41,45,50,-5,"NED",1,18,11,1378.1862793,1.38235294117647,2
"Heracles",40,53,65,-12,"NED",1,18,12,1409.36730957,1.69117647058824,2
"Groningen",39,40,55,-15,"NED",1,18,13,1410.41210938,1.34556952198229,2
"Willem II",36,34,59,-25,"NED",1,18,14,1324.44934082,1.35105381336755,2
"Go Ahead Eagles",35,34,56,-22,"NED",1,18,15,1498.68859863,1.36764705882353,2
"Breda",34,22,55,-33,"NED",1,18,16,1351.14208984,1.36857177369276,2
"Zwolle",33,49,60,-11,"NED",1,18,17,1462.80810547,1.64705882352941,2
"Sittard",27,29,66,-37,"NED",1,18,18,1420.51062012,1.36764705882353,2
"Videoton",45,42,24,18,"HUN",1,12,1,1235.41149902,1.31948295434168,1
"Ferencvaros",37,35,23,12,"HUN",1,12,2,1499.69836426,1.24933772912563,1
"Kecskemeti",36,37,28,9,"HUN",1,12,3,1235.34887695,1.29918347480626,1
"Puskas Akademia",35,32,32,0,"HUN",1,12,4,1423.1427002,1.24116231728453,1
"Gyoer",32,33,29,4,"HUN",1,12,5,1327.04162598,1.30539344779311,1
"Zalaegerszegi",32,24,25,-1,"HUN",1,12,6,1275.06213379,1.31870585162996,1
"MTK",29,31,31,0,"HUN",1,12,7,1281.40856934,1.34807430903633,1
"Diosgyori",28,23,28,-5,"HUN",1,12,8,1288.05786133,1.3680507967051,1
"Debrecen",27,22,28,-6,"HUN",1,12,9,1286.16259766,1.25040840127699,1
"Nyiregyhaza",25,24,34,-10,"HUN",1,12,10,1232.09912109,1.3626736333934,1
"Ujpest",23,29,34,-5,"HUN",1,12,11,1265.30090332,1.21084217838154,1
"Paksi",17,22,38,-16,"HUN",1,12,12,1378.65771484,1.3096637079061,1
"St Gillis",61,81,30,51,"BEL",2,16,1,1730.55700684,1.5375,2
"Brugge",61,65,22,43,"BEL",2,16,2,1747.07775879,1.475,2
"Genk",58,55,31,24,"BEL",2,16,3,1634.98864746,1.31666666666667,2
"Standard",47,41,40,1,"BEL",2,16,4,1433.52770996,1.37434210526316,2
"Leuven",45,38,41,-3,"BEL",2,16,5,1431.72802734,1.31109497478039,2
"Westerlo",44,55,46,9,"BEL",2,16,6,1470.00036621,1.64144736842105,2
"Gent",44,33,40,-7,"BEL",2,16,7,1483.28747559,1.57738095238095,2
"Mechelen",41,34,41,-7,"BEL",2,16,8,1484.82263184,1.3875,2
"Anderlecht",37,40,48,-8,"BEL",2,16,9,1586.59558105,1.4,2
"Charleroi",35,44,54,-10,"BEL",2,16,10,1526.21923828,1.23611111111111,2
"Antwerp",34,40,47,-7,"BEL",2,16,11,1538.63525391,1.3375,2
"Dender",34,36,52,-16,"BEL",2,16,12,1401.82897949,1.30036327978821,2
"St Truiden",34,35,57,-22,"BEL",2,16,13,1445.72253418,1.375,2
"Beerschot AC",31,34,48,-14,"BEL",2,16,14,1335.44128418,1.26826345367282,2
"Cercle Brugge",31,27,43,-16,"BEL",2,16,15,1451.55505371,1.3,2
"Kortrijk",25,29,47,-18,"BEL",2,16,16,1390.52392578,1.33333333333333,2
