"Club_A","Club_B","Result_A","Result_B","Winner","Elo_A","Elo_B","Round","Stage","Penalty","seed"
"Liverpool","Steaua",7,0,"Liverpool",1993.41796875,1555.09423828,1,"Knockout","",1
"Arsenal","Lyon",4,1,"Arsenal",1993.3404541,1744.62866211,1,"Knockout","",1
"Paris SG","Lille",2,3,"Lille",1974.93762207,1782.04833984,1,"Knockout","",1
"Man City","Varazdin",5,0,"Man City",1959.94421387,1347.17712402,1,"Knockout","",1
"Barcelona","Feyenoord",2,4,"Feyenoord",1945.43041992,1738.36352539,1,"Knockout","",1
"Real Madrid","Brugge",4,4.2,"Brugge",1936.12731934,1747.07775879,1,"Knockout","Penalty",1
"Inter","Milan",1,5,"Milan",1933.2421875,1786.90795898,1,"Knockout","",1
"Bayern","Betis",7,2,"Bayern",1918.99780273,1742.14355469,1,"Knockout","",1
"Chelsea","St Gillis",5,0,"Chelsea",1902.8013916,1730.55700684,1,"Knockout","",1
"Atletico","Olimpija Ljubljana",7,0,"Atletico",1855.34960938,1426.41101074,1,"Knockout","",1
"Leverkusen","Stuttgart",5,3,"Leverkusen",1848.78601074,1719.31469727,1,"Knockout","",1
"Roma","Sturm Graz",5,2,"Roma",1819.65991211,1553.17565918,1,"Knockout","",1
"Dortmund","Slavia Praha",4,1,"Dortmund",1818.35009766,1694.71618652,1,"Knockout","",1
"PSV","Karabakh Agdam",6,1,"PSV",1797.03527832,1500.27087402,1,"Knockout","",1
"Benfica","Fiorentina",3,2,"Benfica",1791.48046875,1756.97180176,1,"Knockout","",1
"Sporting","FC Krasnodar",1,4,"FC Krasnodar",1788.60021973,1614.2935791,1,"Knockout","",1
"Milan","FC Krasnodar",4,1,"Milan",1786.90795898,1614.2935791,2,"Knockout","",1
"Arsenal","Atletico",4,2,"Arsenal",1993.3404541,1855.34960938,2,"Knockout","",1
"Liverpool","Roma",6,1,"Liverpool",1993.41796875,1819.65991211,2,"Knockout","",1
"PSV","Man City",3,3.2,"Man City",1797.03527832,1959.94421387,2,"Knockout","Penalty",1
"Leverkusen","Feyenoord",4,2,"Leverkusen",1848.78601074,1738.36352539,2,"Knockout","",1
"Brugge","Benfica",2,4,"Benfica",1747.07775879,1791.48046875,2,"Knockout","",1
"Chelsea","Lille",2,1,"Chelsea",1902.8013916,1782.04833984,2,"Knockout","",1
"Dortmund","Bayern",1,7,"Bayern",1818.35009766,1918.99780273,2,"Knockout","",1
"Arsenal","Man City",7,4,"Arsenal",1993.3404541,1959.94421387,3,"Knockout","",1
"Liverpool","Bayern",5,3,"Liverpool",1993.41796875,1918.99780273,3,"Knockout","",1
"Benfica","Leverkusen",1,3,"Leverkusen",1791.48046875,1848.78601074,3,"Knockout","",1
"Milan","Chelsea",3,1,"Milan",1786.90795898,1902.8013916,3,"Knockout","",1
"Arsenal","Leverkusen",6,4,"Arsenal",1993.3404541,1848.78601074,4,"Knockout","",1
"Liverpool","Milan",3,5,"Milan",1993.41796875,1786.90795898,4,"Knockout","",1
"Arsenal","Milan",4,3,"Arsenal",1993.3404541,1786.90795898,5,"Knockout","",1
"Liverpool","Feyenoord",3,7,"Feyenoord",1993.41796875,1738.36352539,1,"Knockout","",2
"Arsenal","Salzburg",7,0,"Arsenal",1993.3404541,1558.85534668,1,"Knockout","",2
"Paris SG","Lens",0,3,"Lens",1974.93762207,1693.22021484,1,"Knockout","",2
"Man City","Maccabi Haifa",6,2,"Man City",1959.94421387,1451.36315918,1,"Knockout","",2
"Barcelona","Malmoe",6,0,"Barcelona",1945.43041992,1521.03540039,1,"Knockout","",2
"Real Madrid","Galatasaray",4,0,"Real Madrid",1936.12731934,1701.14611816,1,"Knockout","",2
"Inter","Crvena Zvezda",4,2,"Inter",1933.2421875,1580.66638184,1,"Knockout","",2
"Bayern","Frankfurt",4,6,"Frankfurt",1918.99780273,1745.75793457,1,"Knockout","",2
"Chelsea","Bodoe Glimt",4,1,"Chelsea",1902.8013916,1616.89807129,1,"Knockout","",2
"Atletico","Sociedad",3,2,"Atletico",1855.34960938,1667.3203125,1,"Knockout","",2
"Leverkusen","Brugge",3,0,"Leverkusen",1848.78601074,1747.07775879,1,"Knockout","",2
"Atalanta","Fiorentina",5,4,"Atalanta",1842.22375488,1756.97180176,1,"Knockout","",2
"Napoli","Monaco",2,1,"Napoli",1838.37182617,1762.12561035,1,"Knockout","",2
"PSV","Celtic",4,3,"PSV",1797.03527832,1662.38671875,1,"Knockout","",2
"Benfica","St Gillis",4,1,"Benfica",1791.48046875,1730.55700684,1,"Knockout","",2
"Sporting","Wolfsburg",3,1,"Sporting",1788.60021973,1645.72412109,1,"Knockout","",2
"Inter","Feyenoord",6,2,"Inter",1933.2421875,1738.36352539,2,"Knockout","",2
"Atletico","PSV",5,3,"Atletico",1855.34960938,1797.03527832,2,"Knockout","",2
"Chelsea","Atalanta",3,2,"Chelsea",1902.8013916,1842.22375488,2,"Knockout","",2
"Leverkusen","Napoli",3,5,"Napoli",1848.78601074,1838.37182617,2,"Knockout","",2
"Man City","Barcelona",3,2,"Man City",1959.94421387,1945.43041992,2,"Knockout","",2
"Sporting","Frankfurt",3,0,"Sporting",1788.60021973,1745.75793457,2,"Knockout","",2
"Real Madrid","Arsenal",1,6,"Arsenal",1936.12731934,1993.3404541,2,"Knockout","",2
"Lens","Benfica",1,3,"Benfica",1693.22021484,1791.48046875,2,"Knockout","",2
"Napoli","Man City",5,5.2,"Man City",1838.37182617,1959.94421387,3,"Knockout","Penalty",2
"Inter","Sporting",4,2,"Inter",1933.2421875,1788.60021973,3,"Knockout","",2
"Atletico","Arsenal",3,2,"Atletico",1855.34960938,1993.3404541,3,"Knockout","",2
"Benfica","Chelsea",2,3,"Chelsea",1791.48046875,1902.8013916,3,"Knockout","",2
"Man City","Chelsea",5,5.2,"Chelsea",1959.94421387,1902.8013916,4,"Knockout","Penalty",2
"Inter","Atletico",5,6,"Atletico",1933.2421875,1855.34960938,4,"Knockout","",2
"Atletico","Chelsea",4.2,4,"Atletico",1855.34960938,1902.8013916,5,"Knockout","Penalty",2
"Liverpool","St Gillis",2,1,"Liverpool",1993.41796875,1730.55700684,1,"Knockout","",3
"Arsenal","Hammarby",7,0,"Arsenal",1993.3404541,1522.63391113,1,"Knockout","",3
"Paris SG","Brugge",4,3,"Paris SG",1974.93762207,1747.07775879,1,"Knockout","",3
"Man City","Girona",3,1,"Man City",1959.94421387,1637.03479004,1,"Knockout","",3
"Barcelona","Nice",1,1.2,"Nice",1945.43041992,1720.62438965,1,"Knockout","Penalty",3
"Real Madrid","Sporting",4,1,"Real Madrid",1936.12731934,1788.60021973,1,"Knockout","",3
"Inter","CFR Cluj",7,1,"Inter",1933.2421875,1478.15344238,1,"Knockout","",3
"Bayern","Sion",10,2,"Bayern",1918.99780273,1324.94360352,1,"Knockout","",3
"Newcastle","Crvena Zvezda",2,2.2,"Crvena Zvezda",1868.55273438,1580.66638184,1,"Knockout","Penalty",3
"Atletico","Frankfurt",5,1,"Atletico",1855.34960938,1745.75793457,1,"Knockout","",3
"Leverkusen","Rakow",6,2,"Leverkusen",1848.78601074,1536.67834473,1,"Knockout","",3
"Napoli","FC Kobenhavn",3,3.2,"FC Kobenhavn",1838.37182617,1621.64001465,1,"Knockout","Penalty",3
"Roma","Monaco",3,1,"Roma",1819.65991211,1762.12561035,1,"Knockout","",3
"Dortmund","Razgrad",5,2,"Dortmund",1818.35009766,1472.64929199,1,"Knockout","",3
"PSV","Milan",3,3.2,"Milan",1797.03527832,1786.90795898,1,"Knockout","Penalty",3
"Benfica","Feyenoord",2,6,"Feyenoord",1791.48046875,1738.36352539,1,"Knockout","",3
"Arsenal","Dortmund",4,4.2,"Dortmund",1993.3404541,1818.35009766,2,"Knockout","Penalty",3
"Atletico","FC Kobenhavn",3,2,"Atletico",1855.34960938,1621.64001465,2,"Knockout","",3
"Paris SG","Leverkusen",1,2,"Leverkusen",1974.93762207,1848.78601074,2,"Knockout","",3
"Man City","Milan",3,2,"Man City",1959.94421387,1786.90795898,2,"Knockout","",3
"Feyenoord","Nice",3,6,"Nice",1738.36352539,1720.62438965,2,"Knockout","",3
"Roma","Inter",5,3,"Roma",1819.65991211,1933.2421875,2,"Knockout","",3
"Liverpool","Real Madrid",2,6,"Real Madrid",1993.41796875,1936.12731934,2,"Knockout","",3
"Bayern","Crvena Zvezda",2,0,"Bayern",1918.99780273,1580.66638184,2,"Knockout","",3
"Nice","Dortmund",1,3,"Dortmund",1720.62438965,1818.35009766,3,"Knockout","",3
"Real Madrid","Atletico",4,5,"Atletico",1936.12731934,1855.34960938,3,"Knockout","",3
"Bayern","Leverkusen",2,4,"Leverkusen",1918.99780273,1848.78601074,3,"Knockout","",3
"Man City","Roma",6,3,"Man City",1959.94421387,1819.65991211,3,"Knockout","",3
"Atletico","Dortmund",5,4,"Atletico",1855.34960938,1818.35009766,4,"Knockout","",3
"Man City","Leverkusen",5,4,"Man City",1959.94421387,1848.78601074,4,"Knockout","",3
"Man City","Atletico",4,2,"Man City",1959.94421387,1855.34960938,5,"Knockout","",3
"Liverpool","Ferencvaros",4,3,"Liverpool",1993.41796875,1499.69836426,1,"Knockout","",4
"Arsenal","Lille",0,4,"Lille",1993.3404541,1782.04833984,1,"Knockout","",4
"Paris SG","Wolfsburg",5,0,"Paris SG",1974.93762207,1645.72412109,1,"Knockout","",4
"Man City","St Gillis",1,4,"St Gillis",1959.94421387,1730.55700684,1,"Knockout","",4
"Barcelona","Lyon",3,3.2,"Lyon",1945.43041992,1744.62866211,1,"Knockout","Penalty",4
"Real Madrid","Milan",5,3,"Real Madrid",1936.12731934,1786.90795898,1,"Knockout","",4
"Inter","Beer-Sheva",7,0,"Inter",1933.2421875,1514.36657715,1,"Knockout","",4
"Bayern","Zenit",3,4,"Zenit",1918.99780273,1654.94470215,1,"Knockout","",4
"Chelsea","Villarreal",1,3,"Villarreal",1902.8013916,1785.54626465,1,"Knockout","",4
"Leverkusen","Feyenoord",3,5,"Feyenoord",1848.78601074,1738.36352539,1,"Knockout","",4
"Atalanta","Brugge",3,1,"Atalanta",1842.22375488,1747.07775879,1,"Knockout","",4
"Roma","Djurgarden",7,2,"Roma",1819.65991211,1460.47021484,1,"Knockout","",4
"Dortmund","Betis",1,0,"Dortmund",1818.35009766,1742.14355469,1,"Knockout","",4
"PSV","Paphos",7,1,"PSV",1797.03527832,1445.92211914,1,"Knockout","",4
"Benfica","Midtjylland",2,1,"Benfica",1791.48046875,1595.68408203,1,"Knockout","",4
"Sporting","Basel",2.2,2,"Sporting",1788.60021973,1523.00378418,1,"Knockout","Penalty",4
"Inter","St Gillis",1,1.2,"St Gillis",1933.2421875,1730.55700684,2,"Knockout","Penalty",4
"Paris SG","Villarreal",6,2,"Paris SG",1974.93762207,1785.54626465,2,"Knockout","",4
"Zenit","Dortmund",2,5,"Dortmund",1654.94470215,1818.35009766,2,"Knockout","",4
"Roma","Benfica",3,2,"Roma",1819.65991211,1791.48046875,2,"Knockout","",4
"Lyon","PSV",2,1,"Lyon",1744.62866211,1797.03527832,2,"Knockout","",4
"Sporting","Liverpool",4,6,"Liverpool",1788.60021973,1993.41796875,2,"Knockout","",4
"Feyenoord","Atalanta",3,5,"Atalanta",1738.36352539,1842.22375488,2,"Knockout","",4
"Real Madrid","Lille",2.2,2,"Real Madrid",1936.12731934,1782.04833984,2,"Knockout","Penalty",4
"Atalanta","Roma",2,5,"Roma",1842.22375488,1819.65991211,3,"Knockout","",4
"Real Madrid","St Gillis",3,3.2,"St Gillis",1936.12731934,1730.55700684,3,"Knockout","Penalty",4
"Lyon","Liverpool",3,7,"Liverpool",1744.62866211,1993.41796875,3,"Knockout","",4
"Dortmund","Paris SG",1,3,"Paris SG",1818.35009766,1974.93762207,3,"Knockout","",4
"Paris SG","St Gillis",2,1,"Paris SG",1974.93762207,1730.55700684,4,"Knockout","",4
"Liverpool","Roma",3,3.2,"Roma",1993.41796875,1819.65991211,4,"Knockout","Penalty",4
"Roma","Paris SG",3,5,"Paris SG",1819.65991211,1974.93762207,5,"Knockout","",4
"Arsenal","Celje",5,0,"Arsenal",1993.3404541,1379.47290039,1,"Knockout","",5
"Paris SG","Feyenoord",4,2,"Paris SG",1974.93762207,1738.36352539,1,"Knockout","",5
"Man City","Midtjylland",4,1,"Man City",1959.94421387,1595.68408203,1,"Knockout","",5
"Barcelona","Brugge",2,0,"Barcelona",1945.43041992,1747.07775879,1,"Knockout","",5
"Real Madrid","Valencia",3,4,"Valencia",1936.12731934,1679.41589355,1,"Knockout","",5
"Inter","Benfica",2.2,2,"Inter",1933.2421875,1791.48046875,1,"Knockout","Penalty",5
"Bayern","Strasbourg",3,1,"Bayern",1918.99780273,1707.00744629,1,"Knockout","",5
"Chelsea","Frankfurt",5,4,"Chelsea",1902.8013916,1745.75793457,1,"Knockout","",5
"Aston Villa","Viking",4,2,"Aston Villa",1872.83935547,1527.25927734,1,"Knockout","",5
"Atletico","Basel",6,3,"Atletico",1855.34960938,1523.00378418,1,"Knockout","",5
"Leverkusen","Shakhtar",5,0,"Leverkusen",1848.78601074,1531.97888184,1,"Knockout","",5
"Atalanta","Ferencvaros",3,1,"Atalanta",1842.22375488,1499.69836426,1,"Knockout","",5
"Roma","Nice",6,3,"Roma",1819.65991211,1720.62438965,1,"Knockout","",5
"Dortmund","St Gillis",1,3,"St Gillis",1818.35009766,1730.55700684,1,"Knockout","",5
"Juventus","Sporting",4,4.2,"Sporting",1805.84667969,1788.60021973,1,"Knockout","Penalty",5
"PSV","M Tel Aviv",4,0,"PSV",1797.03527832,1552.51538086,1,"Knockout","",5
"Leverkusen","Arsenal",2,4,"Arsenal",1848.78601074,1993.3404541,2,"Knockout","",5
"St Gillis","Atalanta",1,2,"Atalanta",1730.55700684,1842.22375488,2,"Knockout","",5
"PSV","Aston Villa",5,7,"Aston Villa",1797.03527832,1872.83935547,2,"Knockout","",5
"Barcelona","Atletico",3,2,"Barcelona",1945.43041992,1855.34960938,2,"Knockout","",5
"Sporting","Man City",2,5,"Man City",1788.60021973,1959.94421387,2,"Knockout","",5
"Bayern","Inter",4,3,"Bayern",1918.99780273,1933.2421875,2,"Knockout","",5
"Paris SG","Chelsea",4,5,"Chelsea",1974.93762207,1902.8013916,2,"Knockout","",5
"Valencia","Roma",3,4,"Roma",1679.41589355,1819.65991211,2,"Knockout","",5
"Barcelona","Chelsea",5,3,"Barcelona",1945.43041992,1902.8013916,3,"Knockout","",5
"Arsenal","Atalanta",2,4,"Atalanta",1993.3404541,1842.22375488,3,"Knockout","",5
"Bayern","Roma",1,5,"Roma",1918.99780273,1819.65991211,3,"Knockout","",5
"Aston Villa","Man City",2,5,"Man City",1872.83935547,1959.94421387,3,"Knockout","",5
"Man City","Roma",2,3,"Roma",1959.94421387,1819.65991211,4,"Knockout","",5
"Atalanta","Barcelona",5,2,"Atalanta",1842.22375488,1945.43041992,4,"Knockout","",5
"Roma","Atalanta",3.2,3,"Roma",1819.65991211,1842.22375488,5,"Knockout","Penalty",5
"Liverpool","Villarreal",6,8,"Villarreal",1993.41796875,1785.54626465,1,"Knockout","",6
"Arsenal","Sporting",4,5,"Sporting",1993.3404541,1788.60021973,1,"Knockout","",6
"Paris SG","Rakow",7,0,"Paris SG",1974.93762207,1536.67834473,1,"Knockout","",6
"Man City","Shakhtar",4,1,"Man City",1959.94421387,1531.97888184,1,"Knockout","",6
"Barcelona","St Gillis",5,2,"Barcelona",1945.43041992,1730.55700684,1,"Knockout","",6
"Real Madrid","Varazdin",9,0,"Real Madrid",1936.12731934,1347.17712402,1,"Knockout","",6
"Inter","Olimpija Ljubljana",8,0,"Inter",1933.2421875,1426.41101074,1,"Knockout","",6
"Bayern","Bodoe Glimt",3,0,"Bayern",1918.99780273,1616.89807129,1,"Knockout","",6
"Newcastle","Malmoe",4,1,"Newcastle",1868.55273438,1521.03540039,1,"Knockout","",6
"Atletico","Feyenoord",5,3,"Atletico",1855.34960938,1738.36352539,1,"Knockout","",6
"Leverkusen","Lyon",2,7,"Lyon",1848.78601074,1744.62866211,1,"Knockout","",6
"Napoli","Karabakh Agdam",8,0,"Napoli",1838.37182617,1500.27087402,1,"Knockout","",6
"Roma","Lille",2,6,"Lille",1819.65991211,1782.04833984,1,"Knockout","",6
"Dortmund","Frankfurt",3,1,"Dortmund",1818.35009766,1745.75793457,1,"Knockout","",6
"Juventus","Benfica",0,3,"Benfica",1805.84667969,1791.48046875,1,"Knockout","",6
"PSV","Brugge",1.2,1,"PSV",1797.03527832,1747.07775879,1,"Knockout","Penalty",6
"Napoli","Paris SG",3,3.2,"Paris SG",1838.37182617,1974.93762207,2,"Knockout","Penalty",6
"Newcastle","Atletico",3,2,"Newcastle",1868.55273438,1855.34960938,2,"Knockout","",6
"Man City","Villarreal",6,4,"Man City",1959.94421387,1785.54626465,2,"Knockout","",6
"Real Madrid","Lyon",5,1,"Real Madrid",1936.12731934,1744.62866211,2,"Knockout","",6
"PSV","Barcelona",5.2,5,"PSV",1797.03527832,1945.43041992,2,"Knockout","Penalty",6
"Dortmund","Lille",2,1,"Dortmund",1818.35009766,1782.04833984,2,"Knockout","",6
"Inter","Benfica",3,4,"Benfica",1933.2421875,1791.48046875,2,"Knockout","",6
"Bayern","Sporting",6,2,"Bayern",1918.99780273,1788.60021973,2,"Knockout","",6
"Benfica","Real Madrid",2,3,"Real Madrid",1791.48046875,1936.12731934,3,"Knockout","",6
"Paris SG","Newcastle",4,2,"Paris SG",1974.93762207,1868.55273438,3,"Knockout","",6
"Man City","Dortmund",6.2,6,"Man City",1959.94421387,1818.35009766,3,"Knockout","Penalty",6
"Bayern","PSV",4,2,"Bayern",1918.99780273,1797.03527832,3,"Knockout","",6
"Paris SG","Real Madrid",2,1,"Paris SG",1974.93762207,1936.12731934,4,"Knockout","",6
"Man City","Bayern",6,2,"Man City",1959.94421387,1918.99780273,4,"Knockout","",6
"Man City","Paris SG",5,6,"Paris SG",1959.94421387,1974.93762207,5,"Knockout","",6
"Arsenal","Basel",4,0,"Arsenal",1993.3404541,1523.00378418,1,"Knockout","",7
"Paris SG","Sporting",5,0,"Paris SG",1974.93762207,1788.60021973,1,"Knockout","",7
"Man City","M Tel Aviv",9,1,"Man City",1959.94421387,1552.51538086,1,"Knockout","",7
"Barcelona","Steaua",3,2,"Barcelona",1945.43041992,1555.09423828,1,"Knockout","",7
"Real Madrid","Frankfurt",1,1.2,"Frankfurt",1936.12731934,1745.75793457,1,"Knockout","Penalty",7
"Inter","Genk",1,3,"Genk",1933.2421875,1634.98864746,1,"Knockout","",7
"Bayern","Brugge",3,6,"Brugge",1918.99780273,1747.07775879,1,"Knockout","",7
"Chelsea","Marseille",4,3,"Chelsea",1902.8013916,1756.52758789,1,"Knockout","",7
"Atletico","Celtic",2,4,"Celtic",1855.34960938,1662.38671875,1,"Knockout","",7
"Leverkusen","Bilbao",2,1,"Leverkusen",1848.78601074,1789.30895996,1,"Knockout","",7
"Atalanta","Benfica",2,1,"Atalanta",1842.22375488,1791.48046875,1,"Knockout","",7
"Brighton","Celje",7,0,"Brighton",1827.12927246,1379.47290039,1,"Knockout","",7
"Roma","Ajax",5,7,"Ajax",1819.65991211,1663.94873047,1,"Knockout","",7
"Dortmund","Hammarby",4,1,"Dortmund",1818.35009766,1522.63391113,1,"Knockout","",7
"Juventus","Nice",3,4,"Nice",1805.84667969,1720.62438965,1,"Knockout","",7
"PSV","Midtjylland",3.2,3,"PSV",1797.03527832,1595.68408203,1,"Knockout","Penalty",7
"Atalanta","Man City",3.2,3,"Atalanta",1842.22375488,1959.94421387,2,"Knockout","Penalty",7
"Brighton","Brugge",0,3,"Brugge",1827.12927246,1747.07775879,2,"Knockout","",7
"Nice","Paris SG",1,3,"Paris SG",1720.62438965,1974.93762207,2,"Knockout","",7
"Genk","Celtic",5,2,"Genk",1634.98864746,1662.38671875,2,"Knockout","",7
"PSV","Dortmund",4,2,"PSV",1797.03527832,1818.35009766,2,"Knockout","",7
"Leverkusen","Arsenal",5,1,"Leverkusen",1848.78601074,1993.3404541,2,"Knockout","",7
"Ajax","Barcelona",3,5,"Barcelona",1663.94873047,1945.43041992,2,"Knockout","",7
"Frankfurt","Chelsea",4,1,"Frankfurt",1745.75793457,1902.8013916,2,"Knockout","",7
"Brugge","Frankfurt",4.2,4,"Brugge",1747.07775879,1745.75793457,3,"Knockout","Penalty",7
"PSV","Atalanta",2,2.2,"Atalanta",1797.03527832,1842.22375488,3,"Knockout","Penalty",7
"Leverkusen","Paris SG",3,2,"Leverkusen",1848.78601074,1974.93762207,3,"Knockout","",7
"Barcelona","Genk",7,0,"Barcelona",1945.43041992,1634.98864746,3,"Knockout","",7
"Atalanta","Barcelona",5,3,"Atalanta",1842.22375488,1945.43041992,4,"Knockout","",7
"Brugge","Leverkusen",3.2,3,"Brugge",1747.07775879,1848.78601074,4,"Knockout","Penalty",7
"Brugge","Atalanta",2,2.2,"Atalanta",1747.07775879,1842.22375488,5,"Knockout","Penalty",7
"Liverpool","Basel",6,0,"Liverpool",1993.41796875,1523.00378418,1,"Knockout","",8
"Arsenal","Sporting",2,3,"Sporting",1993.3404541,1788.60021973,1,"Knockout","",8
"Paris SG","Villarreal",3,1,"Paris SG",1974.93762207,1785.54626465,1,"Knockout","",8
"Man City","Monaco",3,1,"Man City",1959.94421387,1762.12561035,1,"Knockout","",8
"Barcelona","Bodoe Glimt",5,1,"Barcelona",1945.43041992,1616.89807129,1,"Knockout","",8
"Real Madrid","Slavia Praha",4,3,"Real Madrid",1936.12731934,1694.71618652,1,"Knockout","",8
"Inter","Feyenoord",3,2,"Inter",1933.2421875,1738.36352539,1,"Knockout","",8
"Bayern","St Gillis",5,3,"Bayern",1918.99780273,1730.55700684,1,"Knockout","",8
"Chelsea","Brugge",4,0,"Chelsea",1902.8013916,1747.07775879,1,"Knockout","",8
"Leverkusen","Dynamo Kyiv",1,0,"Leverkusen",1848.78601074,1507.01538086,1,"Knockout","",8
"Atalanta","FC Kobenhavn",6,4,"Atalanta",1842.22375488,1621.64001465,1,"Knockout","",8
"Napoli","Frankfurt",5,4,"Napoli",1838.37182617,1745.75793457,1,"Knockout","",8
"Roma","Bilbao",0,2,"Bilbao",1819.65991211,1789.30895996,1,"Knockout","",8
"Dortmund","Ferencvaros",4,1,"Dortmund",1818.35009766,1499.69836426,1,"Knockout","",8
"PSV","Lyon",4,3,"PSV",1797.03527832,1744.62866211,1,"Knockout","",8
"Benfica","Steaua",5,3,"Benfica",1791.48046875,1555.09423828,1,"Knockout","",8
"Paris SG","Barcelona",2,4,"Barcelona",1974.93762207,1945.43041992,2,"Knockout","",8
"Bayern","PSV",7,3,"Bayern",1918.99780273,1797.03527832,2,"Knockout","",8
"Benfica","Chelsea",2,3,"Chelsea",1791.48046875,1902.8013916,2,"Knockout","",8
"Dortmund","Real Madrid",4,6,"Real Madrid",1818.35009766,1936.12731934,2,"Knockout","",8
"Inter","Napoli",4,5,"Napoli",1933.2421875,1838.37182617,2,"Knockout","",8
"Liverpool","Leverkusen",3,5,"Leverkusen",1993.41796875,1848.78601074,2,"Knockout","",8
"Atalanta","Sporting",3.2,3,"Atalanta",1842.22375488,1788.60021973,2,"Knockout","Penalty",8
"Man City","Bilbao",4,2,"Man City",1959.94421387,1789.30895996,2,"Knockout","",8
"Man City","Leverkusen",4,0,"Man City",1959.94421387,1848.78601074,3,"Knockout","",8
"Chelsea","Atalanta",3,1,"Chelsea",1902.8013916,1842.22375488,3,"Knockout","",8
"Bayern","Barcelona",1,4,"Barcelona",1918.99780273,1945.43041992,3,"Knockout","",8
"Real Madrid","Napoli",3,6,"Napoli",1936.12731934,1838.37182617,3,"Knockout","",8
"Napoli","Man City",2.2,2,"Napoli",1838.37182617,1959.94421387,4,"Knockout","Penalty",8
"Chelsea","Barcelona",3,8,"Barcelona",1902.8013916,1945.43041992,4,"Knockout","",8
"Napoli","Barcelona",2,1,"Napoli",1838.37182617,1945.43041992,5,"Knockout","",8
"Liverpool","Brugge",5,2,"Liverpool",1993.41796875,1747.07775879,1,"Knockout","",9
"Paris SG","Monaco",5,4,"Paris SG",1974.93762207,1762.12561035,1,"Knockout","",9
"Man City","Feyenoord",4,4.2,"Feyenoord",1959.94421387,1738.36352539,1,"Knockout","Penalty",9
"Barcelona","Benfica",1,5,"Benfica",1945.43041992,1791.48046875,1,"Knockout","",9
"Real Madrid","Marseille",2,2.2,"Marseille",1936.12731934,1756.52758789,1,"Knockout","Penalty",9
"Inter","Sporting",4,2,"Inter",1933.2421875,1788.60021973,1,"Knockout","",9
"Bayern","Karabakh Agdam",7,0,"Bayern",1918.99780273,1500.27087402,1,"Knockout","",9
"Chelsea","FC Kobenhavn",4,2,"Chelsea",1902.8013916,1621.64001465,1,"Knockout","",9
"Aston Villa","M Tel Aviv",4,0,"Aston Villa",1872.83935547,1552.51538086,1,"Knockout","",9
"Atletico","Frankfurt",1,3,"Frankfurt",1855.34960938,1745.75793457,1,"Knockout","",9
"Leverkusen","Olympiakos",3,2,"Leverkusen",1848.78601074,1670.36560059,1,"Knockout","",9
"Atalanta","Rijeka",3.2,3,"Atalanta",1842.22375488,1442.31982422,1,"Knockout","Penalty",9
"Napoli","Villarreal",2,5,"Villarreal",1838.37182617,1785.54626465,1,"Knockout","",9
"Roma","FC Krasnodar",3,1,"Roma",1819.65991211,1614.2935791,1,"Knockout","",9
"Dortmund","St Gillis",4,0,"Dortmund",1818.35009766,1730.55700684,1,"Knockout","",9
"PSV","Sturm Graz",5,3,"PSV",1797.03527832,1553.17565918,1,"Knockout","",9
"Marseille","Villarreal",4.2,4,"Marseille",1756.52758789,1785.54626465,2,"Knockout","Penalty",9
"Bayern","Chelsea",2,6,"Chelsea",1918.99780273,1902.8013916,2,"Knockout","",9
"Aston Villa","Frankfurt",7,2,"Aston Villa",1872.83935547,1745.75793457,2,"Knockout","",9
"Feyenoord","Paris SG",2,1,"Feyenoord",1738.36352539,1974.93762207,2,"Knockout","",9
"Liverpool","PSV",3,3.2,"PSV",1993.41796875,1797.03527832,2,"Knockout","Penalty",9
"Inter","Roma",4,3,"Inter",1933.2421875,1819.65991211,2,"Knockout","",9
"Atalanta","Benfica",4,3,"Atalanta",1842.22375488,1791.48046875,2,"Knockout","",9
"Leverkusen","Dortmund",6,3,"Leverkusen",1848.78601074,1818.35009766,2,"Knockout","",9
"Marseille","Chelsea",2,5,"Chelsea",1756.52758789,1902.8013916,3,"Knockout","",9
"Feyenoord","Inter",0,3,"Inter",1738.36352539,1933.2421875,3,"Knockout","",9
"PSV","Atalanta",2,6,"Atalanta",1797.03527832,1842.22375488,3,"Knockout","",9
"Aston Villa","Leverkusen",2,8,"Leverkusen",1872.83935547,1848.78601074,3,"Knockout","",9
"Chelsea","Atalanta",3,6,"Atalanta",1902.8013916,1842.22375488,4,"Knockout","",9
"Leverkusen","Inter",4.2,4,"Leverkusen",1848.78601074,1933.2421875,4,"Knockout","Penalty",9
"Leverkusen","Atalanta",3,5,"Atalanta",1848.78601074,1842.22375488,5,"Knockout","",9
"Liverpool","Bodoe Glimt",5,0,"Liverpool",1993.41796875,1616.89807129,1,"Knockout","",10
"Arsenal","FC Krasnodar",6,1,"Arsenal",1993.3404541,1614.2935791,1,"Knockout","",10
"Paris SG","Villarreal",5,5.2,"Villarreal",1974.93762207,1785.54626465,1,"Knockout","Penalty",10
"Man City","Slavia Praha",4,4.2,"Slavia Praha",1959.94421387,1694.71618652,1,"Knockout","Penalty",10
"Barcelona","Nice",6,2,"Barcelona",1945.43041992,1720.62438965,1,"Knockout","",10
"Real Madrid","Razgrad",6,1,"Real Madrid",1936.12731934,1472.64929199,1,"Knockout","",10
"Bayern","Shakhtar",7,1,"Bayern",1918.99780273,1531.97888184,1,"Knockout","",10
