"Club","Points","GF","GA","GD","Group","Europa","UL","n_teams","Rank","Elo","Tilt","Pass","seed"
"Brest",40,38,50,-12,"FRA",2,1,18,13,1679.1048584,1.36552353231262,3,36
"Auxerre",38,38,57,-19,"FRA",2,1,18,14,1629.10119629,1.35462076210676,3,36
"Montpellier",34,32,53,-21,"FRA",2,1,18,15,1490.47045898,1.3061738434597,3,36
"Rennes",29,34,47,-13,"FRA",2,1,18,16,1663.48510742,1.35023245132051,3,36
"Le Havre",29,34,56,-22,"FRA",2,1,18,17,1553.54150391,1.21270141067026,3,36
"Angers",21,24,62,-38,"FRA",2,1,18,18,1538.24450684,1.21867533913995,3,36
"Bayern",81,90,29,61,"GER",2,0,18,1,1918.99780273,2.04411764705882,4,36
"Leverkusen",70,73,34,39,"GER",2,0,18,2,1848.78601074,1.66176470588235,4,36
"Dortmund",57,57,41,16,"GER",2,0,18,3,1818.35009766,1.63235294117647,4,36
"Mainz",55,55,44,11,"GER",2,0,18,4,1706.18273926,1.32352941176471,4,36
"Stuttgart",53,57,52,5,"GER",2,0,18,5,1719.31469727,1.72058823529412,4,36
"Union Berlin",51,54,51,3,"GER",2,0,18,6,1617.16491699,1.33823529411765,4,36
"RB Leipzig",51,55,53,2,"GER",2,0,18,7,1716.37438965,1.70588235294118,4,36
"Frankfurt",50,52,51,1,"GER",2,0,18,8,1745.75793457,1.48529411764706,4,36
"Wolfsburg",48,56,55,1,"GER",2,0,18,9,1645.72412109,1.42647058823529,4,36
"Werder",47,47,51,-4,"GER",2,0,18,10,1677.4543457,1.5,4,36
"Freiburg",43,53,58,-5,"GER",2,0,18,11,1684.3404541,1.51470588235294,4,36
"Gladbach",42,50,54,-4,"GER",2,0,18,12,1632.47961426,1.80882352941176,4,36
"St Pauli",39,39,54,-15,"GER",2,0,18,13,1577.10717773,1.31896297824496,4,36
"Hoffenheim",38,43,62,-19,"GER",2,0,18,14,1605.84057617,1.94117647058824,4,36
"Augsburg",38,42,64,-22,"GER",2,0,18,15,1618.65966797,1.61764705882353,4,36
"Bochum",34,46,66,-20,"GER",2,0,18,16,1539.73632812,1.70588235294118,4,36
"Heidenheim",30,47,63,-16,"GER",2,0,18,17,1558.72509766,1.54411764705882,4,36
"Holstein",26,36,70,-34,"GER",2,0,18,18,1537.13269043,1.31910058410879,4,36
"Dynamo Kyiv",76,77,23,54,"UKR",1,1,17,1,1507.01538086,1.43850266780293,1,37
"Shakhtar",70,77,30,47,"UKR",1,1,17,2,1531.97888184,1.44841709934095,1,37
"Olexandriya",56,56,34,22,"UKR",1,1,17,3,1381.87268066,1.34176428598457,1,37
"Polissya Zhytomyr",52,46,36,10,"UKR",1,1,17,4,1320.07263184,1.31745472195691,1,37
"Kryvbas",50,52,44,8,"UKR",1,1,17,5,1311.26586914,1.48790465521939,1,37
"Kolos",47,46,34,12,"UKR",1,1,17,6,1279.32971191,1.29189153594105,1,37
"Zorya",47,39,39,0,"UKR",1,1,17,7,1292.85839844,1.3787245699988,1,37
"Karpaty",45,39,45,-6,"UKR",1,1,17,8,1259.42590332,1.27209140353485,1,37
"Obolon Kyiv",43,36,46,-10,"UKR",1,1,17,9,1222.96166992,1.41636576934115,1,37
"Rukh Lviv",42,43,45,-2,"UKR",1,1,17,10,1288.19287109,1.46853488799151,1,37
"Metalist 1925",41,36,39,-3,"UKR",1,1,17,11,1239.8572998,1.28202716904547,1,37
"Vorskla",39,32,41,-9,"UKR",1,1,17,12,1209.55578613,1.31329863700947,1,37
"Livyi Bereh",39,37,55,-18,"UKR",1,1,17,13,1161.27331543,1.41068170587411,1,37
"LNZ",32,34,50,-16,"UKR",1,1,17,14,1222.95471191,1.14129893875913,1,37
"Veres",29,36,59,-23,"UKR",1,1,17,15,1218.13342285,1.23205283630251,1,37
"Inhulets",29,34,66,-32,"UKR",1,1,17,16,1159.96582031,1.34324372135244,1,37
"Chernomorets",18,28,62,-34,"UKR",1,1,17,17,1168.51318359,1.29741296307544,1,37
"Zenit",71,77,29,48,"RUS",2,1,16,1,1654.94470215,1.29772911372178,1,37
"CSKA Moskva",65,56,23,33,"RUS",2,1,16,2,1586.48449707,1.40110356149842,1,37
"Lok Moskva",63,59,29,30,"RUS",2,1,16,3,1528.8885498,1.39219591906144,1,37
"Spartak Moskva",54,50,26,24,"RUS",2,1,16,4,1575.06225586,1.29987526899289,1,37
"Dynamo Moskva",49,41,37,4,"RUS",2,1,16,5,1559.70556641,1.30472703625533,1,37
"FC Krasnodar",46,44,36,8,"RUS",2,1,16,6,1614.2935791,1.27835027827035,1,37
"Terek Grozny",44,44,49,-5,"RUS",2,1,16,7,1378.00061035,1.26041101234172,1,37
"Rubin Kazan",41,39,41,-2,"RUS",2,1,16,8,1449.19909668,1.35279747616122,1,37
"FC Khimki",39,29,43,-14,"RUS",2,1,16,9,1332.08056641,1.17869852960768,1,37
"Rostov",37,36,41,-5,"RUS",2,1,16,10,1454.07470703,1.26761211873211,1,37
"Akron Togliatti",32,36,52,-16,"RUS",2,1,16,11,1351.15979004,1.49851402599643,1,37
"Kryliya Sovetov",31,27,38,-11,"RUS",2,1,16,12,1389.4510498,1.22277119530074,1,37
"Dynamo Makhachkala",31,36,48,-12,"RUS",2,1,16,13,1345.46643066,1.45560378653759,1,37
"Orenburg",25,23,51,-28,"RUS",2,1,16,14,1342.03637695,1.24785966555051,1,37
"Fakel Voronezh",24,32,61,-29,"RUS",2,1,16,15,1325.39428711,1.43480169642724,1,37
"Nizhny Novgorod",21,29,54,-25,"RUS",2,1,16,16,1328.875,1.40968890195872,1,37
"Slavia Praha",84,72,14,58,"CZE",1,1,16,1,1694.71618652,1.33809866267393,0,37
"Viktoria Plzen",61,60,28,32,"CZE",1,1,16,2,1616.74377441,1.34246972141019,0,37
"Sparta Praha",60,58,26,32,"CZE",1,1,16,3,1573.58947754,1.33219194957468,0,37
"Banik Ostrava",52,46,31,15,"CZE",1,1,16,4,1525.75,1.35041068334487,0,37
"Jablonec",49,46,33,13,"CZE",1,1,16,5,1488.07983398,1.3312635885845,0,37
"Mlada Boleslav",43,35,43,-8,"CZE",1,1,16,6,1361.43188477,1.4448377342862,0,37
"Hradec Kralove",39,45,46,-1,"CZE",1,1,16,7,1427.42712402,1.43998443821975,0,37
"Bohemians Praha",39,41,45,-4,"CZE",1,1,16,8,1355.88806152,1.2731341655892,0,37
"Sigma Olomouc",38,45,44,1,"CZE",1,1,16,9,1384.57910156,1.2892438399432,0,37
"Dukla",38,31,38,-7,"CZE",1,1,16,10,1288.5020752,1.40807277641082,0,37
"Slovacko",34,31,47,-16,"CZE",1,1,16,11,1320.97827148,1.23587302289196,0,37
"Slovan Liberec",32,37,46,-9,"CZE",1,1,16,12,1420.46691895,1.29436952764826,0,37
"Karvina",31,32,48,-16,"CZE",1,1,16,13,1330.63317871,1.34371995890373,0,37
"Teplice",29,28,44,-16,"CZE",1,1,16,14,1364.72058105,1.25452073235941,0,37
"Pardubice",24,27,62,-35,"CZE",1,1,16,15,1270.84509277,1.30783225548588,0,37
"Ceske Budejovice",23,20,59,-39,"CZE",1,1,16,16,1153.98828125,1.2057994247388,0,37
"Steaua",74,66,28,38,"ROM",1,1,17,1,1555.09423828,1.39331443023346,1,37
"Craiova",60,55,35,20,"ROM",1,1,17,2,1424.82824707,1.11356292733091,1,37
"UTA Arad",54,48,35,13,"ROM",1,1,17,3,1288.83398438,1.22868320587504,1,37
"CFR Cluj",53,45,32,13,"ROM",1,1,17,4,1478.15344238,1.25890187743467,1,37
"Hermannstadt",52,48,38,10,"ROM",1,1,17,5,1329.19116211,1.28078458104353,1,37
"Petrolul Ploiesti",48,44,39,5,"ROM",1,1,17,6,1280.50402832,1.23425622255508,1,37
"Otelul Galati",47,42,39,3,"ROM",1,1,17,7,1304.88562012,1.40277962109057,1,37
"Botosani",46,48,44,4,"ROM",1,1,17,8,1267.04626465,1.25893208305578,1,37
"Rapid Bucuresti",45,35,29,6,"ROM",1,1,17,9,1375.25671387,1.26389153239664,1,37
"Viitorul",43,33,29,4,"ROM",1,1,17,10,1331.0637207,1.10492046162966,1,37
"Universitatea Cluj",43,40,41,-1,"ROM",1,1,17,11,1378.57189941,1.38406683297735,1,37
"Dinamo Bucuresti",42,32,45,-13,"ROM",1,1,17,12,1317.17785645,1.26441412517429,1,37
"Corvinul Hunedoara",34,31,40,-9,"ROM",1,1,17,13,1218.04663086,1.33368574562709,1,37
"Iasi",30,41,56,-15,"ROM",1,1,17,14,1254.77526855,1.42467157551895,1,37
"Unirea Slobozia",27,37,60,-23,"ROM",1,1,17,15,1225.63012695,1.32458169166472,1,37
"Gloria Buzau",24,30,63,-33,"ROM",1,1,17,16,1151.76306152,1.30432162478013,1,37
"Sepsi",23,32,54,-22,"ROM",1,1,17,17,1290.68066406,1.31596851156328,1,37
"Brugge",73,66,18,48,"BEL",2,1,16,1,1747.07775879,1.475,2,37
"St Gillis",56,70,41,29,"BEL",2,1,16,2,1730.55700684,1.5375,2,37
"Genk",54,49,33,16,"BEL",2,1,16,3,1634.98864746,1.31666666666667,2,37
"Gent",49,45,41,4,"BEL",2,1,16,4,1483.28747559,1.57738095238095,2,37
"St Truiden",48,34,30,4,"BEL",2,1,16,5,1445.72253418,1.375,2,37
"Anderlecht",44,55,47,8,"BEL",2,1,16,6,1586.59558105,1.4,2,37
"Cercle Brugge",43,48,44,4,"BEL",2,1,16,7,1451.55505371,1.3,2,37
"Antwerp",42,41,34,7,"BEL",2,1,16,8,1538.63525391,1.3375,2,37
"Charleroi",41,41,43,-2,"BEL",2,1,16,9,1526.21923828,1.23611111111111,2,37
"Westerlo",41,41,46,-5,"BEL",2,1,16,10,1470.00036621,1.64144736842105,2,37
"Mechelen",37,37,48,-11,"BEL",2,1,16,11,1484.82263184,1.3875,2,37
"Leuven",36,30,40,-10,"BEL",2,1,16,12,1431.72802734,1.15316537938931,2,37
"Standard",33,33,51,-18,"BEL",2,1,16,13,1433.52770996,1.37434210526316,2,37
"Kortrijk",28,33,52,-19,"BEL",2,1,16,14,1390.52392578,1.33333333333333,2,37
"Beerschot AC",25,25,49,-24,"BEL",2,1,16,15,1335.44128418,1.38989162885421,2,37
"Dender",19,30,61,-31,"BEL",2,1,16,16,1401.82897949,1.29462992598061,2,37
"Razgrad",75,76,21,55,"BUL",1,2,17,1,1472.64929199,1.23784219931378,0,37
"Levski",65,53,23,30,"BUL",1,2,17,2,1397.12976074,1.27632586763495,0,37
"CSKA Sofia",62,59,32,27,"BUL",1,2,17,3,1374.2010498,1.26569464305798,0,37
"Cherno More",57,55,36,19,"BUL",1,2,17,4,1340.97851562,1.36553955237878,0,37
"Slavia Sofia",53,39,33,6,"BUL",1,2,17,5,1162.07763672,1.13088850551962,0,37
"Beroe Stara Zagora",51,44,45,-1,"BUL",1,2,17,6,1169.13757324,1.47339114792131,0,37
"Botev Plovdiv",48,44,37,7,"BUL",1,2,17,7,1214.87927246,1.2462321060803,0,37
"CSKA 1948 Sofia",47,50,38,12,"BUL",1,2,17,8,1210.73205566,1.41170860062199,0,37
"Lok Sofia",45,45,44,1,"BUL",1,2,17,9,1181.29724121,1.27533013237529,0,37
"Arda",44,38,38,0,"BUL",1,2,17,10,1294.98327637,1.28799336434268,0,37
"Lok Plovdiv",39,36,48,-12,"BUL",1,2,17,11,1165.56420898,1.3170379621581,0,37
"Spartak Varna",39,33,46,-13,"BUL",1,2,17,12,1140.4230957,1.24104771168346,0,37
"Septemvri Sofia",33,44,57,-13,"BUL",1,2,17,13,1117.41577148,1.1377043644102,0,37
"Botev Vratsa",29,29,53,-24,"BUL",1,2,17,14,1103.88671875,1.28000543491333,0,37
"Levski Krumovgrad",27,36,51,-15,"BUL",1,2,17,15,1126.19433594,1.33890717427702,0,37
"Hebar",27,27,57,-30,"BUL",1,2,17,16,1035.06201172,1.33979553712222,0,37
"Blagoevgrad",13,20,69,-49,"BUL",1,2,17,17,1060.3293457,1.50228097364277,0,37
"Koper",36,34,23,11,"SVN",1,1,10,1,1335.64245605,1.27847216511754,0,37
"Celje",33,32,21,11,"SVN",1,1,10,2,1379.47290039,1.37563576094931,0,37
"Olimpija Ljubljana",32,26,16,10,"SVN",1,1,10,3,1426.41101074,1.33455051293526,0,37
"Maribor",31,29,18,11,"SVN",1,1,10,4,1380.29211426,1.18043683979259,0,37
"Bravo",26,28,25,3,"SVN",1,1,10,5,1264.70251465,1.45579173085517,0,37
"Domzale",22,17,23,-6,"SVN",1,1,10,6,1162.32849121,1.17725195548707,0,37
"Nafta",21,15,26,-11,"SVN",1,1,10,7,1122.66589355,1.33572159069085,0,37
"Mura",19,19,33,-14,"SVN",1,1,10,8,1169.0324707,1.28603521430837,0,37
"Radomlje",18,16,23,-7,"SVN",1,1,10,9,1164.2845459,1.21993816358826,0,37
"Primorje",13,16,24,-8,"SVN",1,1,10,10,1190.31591797,1.29914993017245,0,37
"Beer-Sheva",64,63,21,42,"ISR",1,1,14,1,1514.36657715,1.51233129014513,0,37
"M Tel Aviv",56,48,19,29,"ISR",1,1,14,2,1552.51538086,1.14603109062064,0,37
"Hapoel Haifa",54,43,24,19,"ISR",1,1,14,3,1364.0723877,1.38248923852578,0,37
"Hapoel Jerusalem",39,28,23,5,"ISR",1,1,14,4,1328.39428711,1.20205309459764,0,37
"Maccabi Haifa",39,38,36,2,"ISR",1,1,14,5,1451.36315918,1.10113320139933,0,37
"Netanya",38,38,40,-2,"ISR",1,1,14,6,1311.05419922,1.15561313314731,0,37
"M Petach Tikva",33,33,43,-10,"ISR",1,1,14,7,1220.94750977,1.30338197299169,0,37
"Bnei Sakhinin",29,27,34,-7,"ISR",1,1,14,8,1269.97265625,1.32102865981396,0,37
"Beitar",28,31,38,-7,"ISR",1,1,14,9,1339.39416504,1.33099078336847,0,37
"Ashdod",27,33,42,-9,"ISR",1,1,14,10,1282.84484863,1.13920757910572,0,37
"Kiryat Shmona",27,26,36,-10,"ISR",1,1,14,11,1196.04394531,1.36832146694792,0,37
"Maccabi Bnei Raina",27,29,42,-13,"ISR",1,1,14,12,1239.88305664,1.47832283976149,0,37
"Ironi Tiberias",26,24,40,-16,"ISR",1,1,14,13,1224.82067871,1.2199646202806,0,37
"Hapoel Eran Hadera",22,25,48,-23,"ISR",1,1,14,14,1190.2331543,1.25875213142139,0,37
"Fenerbahce",90,79,24,55,"TUR",1,1,19,1,1673.91918945,1.71052631578947,1,37
"Galatasaray",71,79,32,47,"TUR",1,1,19,2,1701.14611816,1.55263157894737,1,37
"Kasimpasa",66,58,42,16,"TUR",1,1,19,3,1423.47302246,1.67105263157895,1,37
"Bueyueksehir",57,51,39,12,"TUR",1,1,19,4,1449.87182617,1.31578947368421,1,37
"Besiktas",51,51,40,11,"TUR",1,1,19,5,1506.78662109,1.30263157894737,1,37
"Trabzonspor",51,49,44,5,"TUR",1,1,19,6,1470.06970215,1.56578947368421,1,37
"Konyaspor",51,39,41,-2,"TUR",1,1,19,7,1388.09277344,1.22368421052632,1,37
"Samsunspor",50,46,45,1,"TUR",1,1,19,8,1436.43029785,1.23684210526316,1,37
"Sivasspor",48,37,49,-12,"TUR",1,1,19,9,1355.29040527,1.32894736842105,1,37
"Gaziantep FK",47,52,55,-3,"TUR",1,1,19,10,1367.83752441,1.40789473684211,1,37
"Adana Demirspor",43,39,54,-15,"TUR",1,1,19,11,1234.671875,1.51315789473684,1,37
"Kayseri",42,35,43,-8,"TUR",1,1,19,12,1389.22131348,1.32894736842105,1,37
"Eyupspor",42,38,47,-9,"TUR",1,1,19,13,1370.41467285,1.29603009326461,1,37
"Bodrum",42,39,56,-17,"TUR",1,1,19,14,1333.02697754,1.20440609825305,1,37
"Rizespor",40,45,54,-9,"TUR",1,1,19,15,1388.77099609,1.39473684210526,1,37
"Antalyaspor",40,36,54,-18,"TUR",1,1,19,16,1355.68505859,1.22368421052632,1,37
"Alanyaspor",37,48,59,-11,"TUR",1,1,19,17,1407.70080566,1.35526315789474,1,37
"Goeztepe",33,41,54,-13,"TUR",1,1,19,18,1384.90710449,1.21106150225718,1,37
"Hatayspor",30,39,69,-30,"TUR",1,1,19,19,1289.30761719,1.27631578947368,1,37
"Inter",88,85,31,54,"ITA",3,0,20,1,1933.2421875,1.46052631578947,4,37
"Napoli",74,72,39,33,"ITA",3,0,20,2,1838.37182617,1.35526315789474,4,37
"Roma",73,56,28,28,"ITA",3,0,20,3,1819.65991211,1.46052631578947,4,37
"Atalanta",70,68,40,28,"ITA",3,0,20,4,1842.22375488,1.5,4,37
"Juventus",65,53,36,17,"ITA",3,0,20,5,1805.84667969,1.11842105263158,4,37
"Lazio",60,46,42,4,"ITA",3,0,20,6,1770.40869141,1.15789473684211,4,37
"Como",59,51,45,6,"ITA",3,0,20,7,1648.34375,1.4426144473324,4,37
"Fiorentina",58,51,41,10,"ITA",3,0,20,8,1756.97180176,1.40789473684211,4,37
"Milan",58,50,42,8,"ITA",3,0,20,9,1786.90795898,1.64473684210526,4,37
"Genoa",55,46,45,1,"ITA",3,0,20,10,1664.06433105,1.18421052631579,4,37
"Torino",50,35,31,4,"ITA",3,0,20,11,1675.24279785,0.947368421052632,4,37
"Bologna",48,46,48,-2,"ITA",3,0,20,12,1750.82434082,1.13157894736842,4,37
"Lecce",43,36,47,-11,"ITA",3,0,20,13,1583.05078125,1.13157894736842,4,37
"Parma",42,38,56,-18,"ITA",3,0,20,14,1602.97509766,1.16396786624175,4,37
"Empoli",42,34,58,-24,"ITA",3,0,20,15,1577.66174316,1.09210526315789,4,37
"Cagliari",41,37,51,-14,"ITA",3,0,20,16,1602.2791748,1.44736842105263,4,37
"Verona",37,32,60,-28,"ITA",3,0,20,17,1595.0670166,1.17105263157895,4,37
"Venezia",34,40,62,-22,"ITA",3,0,20,18,1557.56433105,1.2474351018715,4,37
"Udinese",30,34,65,-31,"ITA",3,0,20,19,1620.2565918,1.18421052631579,4,37
"Monza",23,18,61,-43,"ITA",3,0,20,20,1519.14404297,1.18421052631579,4,37
"StGallen",51,41,24,17,"SUI",1,2,13,1,1391.01086426,1.43598137192379,0,37
"Basel",45,40,23,17,"SUI",1,2,13,2,1523.00378418,1.26731798376788,0,37
"Lausanne",39,41,34,7,"SUI",1,2,13,3,1403.11108398,1.29828684606016,0,37
"Young Boys",39,31,25,6,"SUI",1,2,13,4,1498.67150879,1.18072225479014,0,37
"Zuerich",34,31,27,4,"SUI",1,2,13,5,1387.01550293,1.21213631484624,0,37
"Servette",34,28,26,2,"SUI",1,2,13,6,1468.03637695,1.18762984162189,0,37
"Sion",34,25,28,-3,"SUI",1,2,13,7,1324.94360352,1.31300635743408,0,37
"Yverdon Sport",32,32,37,-5,"SUI",1,2,13,8,1298.96765137,1.41331943547118,0,37
"Luzern",29,29,33,-4,"SUI",1,2,13,9,1383.43859863,1.35154766254446,0,37
"Winterthur",26,32,39,-7,"SUI",1,2,13,10,1337.91210938,1.25364728643841,0,37
"Lugano",22,26,33,-7,"SUI",1,2,13,11,1402.29016113,1.16077662007985,0,37
"Aarau",19,20,31,-11,"SUI",1,2,13,12,1272.09313965,1.14722250973169,0,37
"Grasshoppers",19,22,38,-16,"SUI",1,2,13,13,1336.74902344,1.30500275093765,0,37
"Bayern",85,89,30,59,"GER",2,0,18,1,1918.99780273,2.04411764705882,4,37
"Dortmund",78,67,31,36,"GER",2,0,18,2,1818.35009766,1.63235294117647,4,37
"Leverkusen",68,69,27,42,"GER",2,0,18,3,1848.78601074,1.66176470588235,4,37
"Frankfurt",58,59,47,12,"GER",2,0,18,4,1745.75793457,1.48529411764706,4,37
"Stuttgart",53,54,49,5,"GER",2,0,18,5,1719.31469727,1.72058823529412,4,37
"Freiburg",52,48,42,6,"GER",2,0,18,6,1684.3404541,1.51470588235294,4,37
"Union Berlin",51,44,43,1,"GER",2,0,18,7,1617.16491699,1.33823529411765,4,37
"Wolfsburg",50,49,44,5,"GER",2,0,18,8,1645.72412109,1.42647058823529,4,37
"RB Leipzig",49,61,56,5,"GER",2,0,18,9,1716.37438965,1.70588235294118,4,37
"Mainz",48,42,48,-6,"GER",2,0,18,10,1706.18273926,1.32352941176471,4,37
"Gladbach",45,44,52,-8,"GER",2,0,18,11,1632.47961426,1.80882352941176,4,37
"Heidenheim",35,40,63,-23,"GER",2,0,18,12,1558.72509766,1.54411764705882,4,37
"St Pauli",34,40,65,-25,"GER",2,0,18,13,1577.10717773,1.22705739429793,4,37
"Augsburg",33,45,60,-15,"GER",2,0,18,14,1618.65966797,1.61764705882353,4,37
"Holstein",30,29,55,-26,"GER",2,0,18,15,1537.13269043,1.25858828094722,4,37
"Werder",28,40,59,-19,"GER",2,0,18,16,1677.4543457,1.5,4,37
"Bochum",28,44,70,-26,"GER",2,0,18,17,1539.73632812,1.70588235294118,4,37
"Hoffenheim",26,42,65,-23,"GER",2,0,18,18,1605.84057617,1.94117647058824,4,37
"PSV",92,96,25,71,"NED",1,2,18,1,1797.03527832,1.94117647058824,2,37
"Feyenoord",83,92,32,60,"NED",1,2,18,2,1738.36352539,1.73529411764706,2,37
